	Unnamed: 0	date	well_id	variant_id	bhp	prod_w	prod_o	prod_g	prod	sat	wf
51426	41	1277	0	43	30.0	2.2530464311774945	14.793547209675188	6.767536962578764e-11	17.04659364085268	0.1321698914543255	0.815
51427	42	1308	0	43	30.0	2.2835105763615955	14.754154149070455	6.702360566607738e-11	17.03766472543205	0.1340272046176028	0.815
51428	43	1339	0	43	30.0	2.3138895878113264	14.714667708442311	6.669597202769587e-11	17.028557296253638	0.1358828905793677	0.815
51429	44	1369	0	43	30.0	2.342856381893959	14.676548554344931	6.667311487404369e-11	17.01940493623889	0.1376579493038201	0.815
51430	45	1400	0	43	30.0	2.3722238607586035	14.63754797556079	6.714466341674013e-11	17.00977183631939	0.139462415109732	0.815
51431	46	1430	0	43	30.0	2.4001039339705605	14.600229217254215	6.599800517368571e-11	17.000333151224776	0.1411798176318472	0.815
51432	47	1461	0	43	30.0	2.4283761359520017	14.562019914196553	6.519798412533055e-11	16.990396050148554	0.1429263996427422	0.815
51433	48	1492	0	43	30.0	2.456185373179806	14.524149581176012	6.28667116226464e-11	16.98033495435582	0.1446488175752824	0.815
51434	49	1520	0	43	30.0	2.4809645727524003	14.490098902432784	6.371429044592888e-11	16.971063475185183	0.1461879260766437	0.8150000000000001
51435	50	1551	0	43	30.0	2.5080327595844163	14.452523889523166	6.386342115168815e-11	16.96055664910758	0.1478744366398129	0.815
51436	51	1581	0	43	30.0	2.533960832934792	14.416294834153584	6.461235179430281e-11	16.950255667088378	0.1494939594247466	0.815
51437	52	1612	0	43	30.0	2.560516555123272	14.378945055913745	6.459837740125928e-11	16.939461611037018	0.1511569029711635	0.815
51438	53	1642	0	43	30.0	2.586543606891689	14.342944622593109	6.446787940420324e-11	16.929488229484797	0.1527833311810869	0.815
51439	54	1673	0	43	30.0	2.613955348659553	14.306091312247544	6.288781301339494e-11	16.920046660907097	0.154488660761141	0.815
51440	55	1704	0	43	30.0	2.6411604225080456	14.269408073898392	6.339706497510821e-11	16.910568496406437	0.156184011381362	0.815
51441	56	1734	0	43	30.0	2.667379076259265	14.233914326980988	6.31055023433428e-11	16.901293403240253	0.1578210029622872	0.815
51442	57	1765	0	43	30.0	2.6944686424996585	14.19687368545626	6.296277112273367e-11	16.89134232795592	0.159517733415431	0.815
51443	58	1795	0	43	30.0	2.7207848908344343	14.161045183112648	6.135123246358549e-11	16.881830073947082	0.1611664658936054	0.815
51444	59	1826	0	43	30.0	2.748191347441398	14.123608493397686	6.02075874853348e-11	16.871799840839085	0.1628866732279063	0.815
51445	60	1857	0	43	30.0	2.775906058745661	14.084808547164313	5.87290971860938e-11	16.860714605909973	0.1646375093599329	0.815
51446	61	1885	0	43	30.0	2.801240296729989	14.048602342619898	5.863777570526296e-11	16.849842639349887	0.1662472675078981	0.8150000000000001
51447	62	1916	0	43	30.0	2.829694823823189	14.007110775725907	5.890257369232437e-11	16.836805599549095	0.1680660150818021	0.815
51448	63	1946	0	43	30.0	2.857639203992828	13.965398866096558	5.829702477945693e-11	16.823038070089385	0.1698646339672489	0.815
51449	64	1977	0	43	30.0	2.8870532636384074	13.920533737590816	6.278073921846768e-11	16.807587001229223	0.171770835601045	0.815
51450	65	2007	0	43	30.0	2.9161491452581263	13.874951177265812	6.34449765829109e-11	16.79110032252394	0.1736723079038687	0.815
51451	66	2038	0	43	30.0	2.9469898386627	13.825107560100363	6.171922119738206e-11	16.772097398763062	0.1757078896334122	0.815
51452	67	2069	0	43	30.0	2.9787418609434284	13.772248128467346	6.249890312443275e-11	16.750989989410776	0.1778248248507375	0.815
51453	68	2099	0	43	30.0	3.010454728861204	13.718046253886946	6.173852960070909e-11	16.72850098274815	0.1799596229193422	0.815
51454	69	2130	0	43	30.0	3.044471200802508	13.65866259496079	6.102782448024155e-11	16.703133795763296	0.1822694614093751	0.815
51455	70	2160	0	43	30.0	3.0789393288263884	13.597573704851072	6.174725856005826e-11	16.67651303367746	0.1846272852489372	0.815
51456	71	2191	0	43	30.0	3.1164853878597314	13.529717301442387	6.180680874568298e-11	16.646202689302118	0.1872189979918109	0.815
51457	72	2222	0	43	30.0	3.155873831499308	13.45672570790497	6.137688486730105e-11	16.61259953940428	0.189968693581864	0.815
51458	73	2251	0	43	30.0	3.194321278325019	13.384141642333304	6.0507804875234e-11	16.578462920658325	0.1926789771532193	0.815
51459	74	2282	0	43	30.0	3.237188114918969	13.301831525564127	6.078268310122106e-11	16.539019640483097	0.1957303507273912	0.815
51460	75	2312	0	43	30.0	3.280576195425947	13.217556383634214	6.065205400609141e-11	16.49813257906016	0.1988453044431062	0.815
51461	76	2343	0	43	30.0	3.3290296800000885	13.124528107330477	6.013428082855066e-11	16.453557787330567	0.2023288654666215	0.815
51462	77	2373	0	43	30.0	3.379810164894088	13.028867176169976	6.19965605306802e-11	16.408677341064063	0.2059770019632134	0.815
51463	78	2404	0	43	30.0	3.440386553027349	12.928323738480008	6.370644320171121e-11	16.36871029150736	0.2101806734775151	0.815
51464	79	2435	0	43	30.0	3.5087476436836376	12.828454797438695	6.401873019097467e-11	16.337202441122333	0.2147704086014003	0.815
51465	80	2465	0	43	30.0	3.577009870520822	12.729845732140175	1.2907566915757667e-10	16.306855602660995	0.2193561994831864	0.815
51466	81	2496	0	43	30.0	3.649307757652665	12.626051826927023	1.2546448548910062e-10	16.27535958457969	0.2242228651654646	0.815
51467	82	2526	0	43	30.0	3.7216917950418633	12.524024709320113	1.2713461675840515e-10	16.245716504361976	0.2290875748104178	0.815
51468	83	2557	0	43	30.0	3.7979039629817457	12.416751112259226	4.064738982550865e-10	16.21465507524097	0.234226626798924	0.815
51469	84	2588	0	43	30.0	3.874673943306029	12.308030369041624	4.070786280870899e-10	16.182704312347653	0.2394330310014744	0.815
51470	85	2616	0	43	30.0	3.944149320916576	12.208985675156978	4.087773857620525e-10	16.153134996073554	0.2441723740856066	0.8150000000000001
51471	86	2647	0	43	30.0	4.021089476550822	12.09898271176074	4.1089549283768364e-10	16.12007218831156	0.2494461209340276	0.815
51472	87	2677	0	43	30.0	4.095566126591467	11.99243783334682	4.1437404342737235e-10	16.088003959938288	0.2545726702200027	0.815
51473	88	2708	0	43	30.0	4.172494463701816	11.882426445946669	4.190931623605104e-10	16.054920909648484	0.259888820828403	0.815
51474	89	2738	0	43	30.0	4.246956637333232	11.776117841904616	4.2361684244277407e-10	16.02307447923785	0.2650525429958085	0.815
51475	90	2769	0	43	30.0	4.324166749187555	11.666261827407606	4.293636645243403e-10	15.99042857659516	0.2704221921554212	0.815
51476	91	2800	0	43	30.0	4.402277259228518	11.556433411163486	4.3551224309230846e-10	15.958710670392003	0.2758541933713986	0.815
51477	92	2830	0	43	30.0	4.4793470665331485	11.449957627637676	4.4184198725865114e-10	15.929304694170824	0.2812016690328186	0.815
51478	93	2861	0	43	30.0	4.559506976253808	11.339536952517882	4.4799154193171236e-10	15.89904392877169	0.28677868912625	0.815
51479	94	2891	0	43	30.0	4.636975420112568	11.232825598121536	4.5281477127726976e-10	15.869801018234105	0.2921886301400232	0.815
51480	95	2922	0	43	30.0	4.716600049028701	11.123173352156876	4.5774690632874547e-10	15.839773401185576	0.2977694143450103	0.815
51481	96	2953	0	43	30.0	4.795318169701042	11.014640378847604	4.6369953042424526e-10	15.809958548548646	0.3033099773775973	0.815
51482	97	2981	0	43	30.0	4.870096389835239	10.918916693959872	4.685901993816137e-10	15.789013083795112	0.3084484358831529	0.8150000000000001
51483	98	3012	0	43	30.0	4.9517597824458495	10.816823499915966	4.727809767039891e-10	15.768583282361815	0.314026928974952	0.815
51484	99	3042	0	43	30.0	5.030161686641407	10.722002311417487	4.768562075825622e-10	15.752163998058894	0.3193314700926973	0.815
51485	100	3073	0	43	30.0	5.1115543683696	10.628652570242336	4.816934272744702e-10	15.740206938611935	0.3247450550240584	0.815
51486	101	3103	0	43	30.0	5.188576347210328	10.541333307374348	4.865387348027132e-10	15.729909654584675	0.3298541734280116	0.815
51487	102	3134	0	43	30.0	5.270944668503409	10.454629287552592	4.894932676147781e-10	15.725573956056	0.3351829754025315	0.815
51488	103	3165	0	43	30.0	5.352932682967131	10.373600228868357	4.937101173313586e-10	15.726532911835488	0.3403758929559494	0.815
51489	104	3195	0	43	30.0	5.432409868195231	10.297932017041228	4.958219914996875e-10	15.73034188523646	0.3453459503822838	0.815
51490	105	3226	0	43	30.0	5.515899539888745	10.224351161147547	4.982525351921273e-10	15.740250701036292	0.3504327627720437	0.815
51491	106	3256	0	43	30.0	5.596942728835233	10.157631388280086	5.032827531297256e-10	15.754574117115318	0.355258268946469	0.815
51492	107	3287	0	43	30.0	5.680896401767653	10.092346253214757	5.07888620174784e-10	15.77324265498241	0.3601603377332933	0.815
51493	108	3318	0	43	30.0	5.761642051264089	10.030533452128893	5.125095051950837e-10	15.792175503392984	0.3648415666369834	0.815
51494	109	3346	0	43	30.0	5.832050432801633	9.978325554912416	5.178857422897718e-10	15.81037598771405	0.3688748728893994	0.8150000000000001
51495	110	3377	0	43	30.0	5.9069256432522685	9.922743706133376	5.209425852663357e-10	15.829669349385645	0.3731553396901192	0.815
51496	111	3407	0	43	30.0	5.976918800821899	9.871311450830875	5.239944041198384e-10	15.848230251652774	0.3771347782001451	0.815
51497	112	3438	0	43	30.0	6.0472009126284565	9.821251950707165	5.290914212677952e-10	15.86845286333562	0.3810832073365284	0.815
51498	113	3468	0	43	30.0	6.113546794377213	9.774164721802515	5.330807658868318e-10	15.887711516179728	0.3847971929847353	0.815
